Artist,Song title,Popularity Score,Lyrics
Arctic Monkeys,I Bet You Look Good On The Dancefloor,58,"Stop making the eyes at me
I'll stop making my eyes at you
What it is that surprises me is
That I don't really want you to

And your shoulders are frozen (As cold as the night)
Oh, but you're an explosion (You're dynamite)
Your name isn't Rio, but I don't care for sand
And lighting the fuse
Might result in a bang, b-b-bang-go

I bet that you look good on the dance floor
I don't know if you're looking for romance or
I don't know what you're looking for
I said, I bet that you look good on the dance floor
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Madonna,Vogue,66,"Strike a pose
Strike a pose
Vogue, vogue, vogue
Vogue, vogue, vogue

Look around everywhere you turn is heartache
It's everywhere that you go (look around)
You try everything you can to escape
The pain of life that you know (life that you know)

When all else fails and you long to be
Something better than you are today
I know a place where you can get away
It's called a dance floor, and here's what it's for, so

Come on, vogue
Let your body move to the music (move to the music)
Hey, hey, hey
Come on, vogue
Let your body go with the flow (go with the flow)
You know you can do it

All you need is your own imagination
So use it that's what it's for (that's what it's for)
Go inside, for your finest inspiration
Your dreams will open the door (open up the door)

It makes no difference if you're black or white
If you're a boy or a girl
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Mud,Dyna-Mite,40,"Nobody knew her name,
She turned up just the same.
There was a knock on the door,
A bump on the floor,
And the party turned insane.
She called out her na-a-a-me
Then she walked in looking like dynamite,
She said now come along boogaloo through the night.
And by the way she's moving well dynamite,
Light you up with all she's got.
She's got the whole town lighting up dynamite
Nobody quite knows what to do wrong or right
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Robert Cray,Right Next Door (Because Of Me),52,"I can hear the couple fighting right next door
Angry words sound clear through these thin walls
Around midnight I heard him shout ""unfaithful woman""
And I knew right then the axe was gonna to fall

It's because of me, it's because of me
Because of me, it's because of me

I heard him shout ""Who is he?"", she mumbled low
He said ""Baby don't you lie to me no more!""
And I'm listening through these thin walls in silent shame
As she called out my name I was right next door
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Madonna,Like a Prayer,71,"Life is a mystery
Everyone must stand alone
I hear you call my name
And it feels like home

When you call my name, it's like a little prayer
I'm down on my knees, I wanna take you there
In the midnight hour, I can feel your power
Just like a prayer, you know I'll take you there

I hear your voice
It's like an angel sighin'
I have no choice
I hear your voice
Feels like flying

I close my eyes
Oh God I think I'm fallin'
Out of the sky
I close my eyes
Heaven help me

When you call my name, it's like a little prayer
I'm down on my knees, I wanna take you there
In the midnight hour, I can feel your power
Just like a prayer, you know I'll take you there

Like a child
You whisper softly to me
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Chris Isaak,Blue Hotel,42,"Blue hotel on a lonely highway
Blue hotel life don't work out my way

Blue hotel on a lonely highway
Blue hotel life don't work out my way
I wait alone each lonely night
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
P!nk,Dear Mr. President,43,"Dear Mr. President
Come take a walk with me
(Come take a walk with me)

Let's pretend we're just two people and
You're not better than me
I'd like to ask you some questions if we can speak honestly

What do you feel when you see all the homeless on the street?
Who do you pray for at night before you go to sleep?
What do you feel when you look in the mirror?
Are you proud?

How do you sleep while the rest of us cry?
How do you dream when a mother has no chance to say goodbye?
How do you walk with your head held high?
Can you even look me in the eye
And tell me why?

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
The Beatles,Lady Madonna - Remastered 2015,63,"Lady Madonna, children at your feet
Wonder how you manage to make ends meet
Who finds the money when you pay the rent
Did you think that money was heaven sent?

Friday night arrives without a suitcase
Sunday morning creeping like a nun
Monday's child has learned to tie his bootlace
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Joni Mitchell,Both Sides Now,65,"Rows and flows of angel hair
And ice cream castles in the air
And feather canyons everywhere,
I've looked at clouds that way.

But now they only block the sun,
They rain and they snow on everyone
So many things I would have done,
But clouds got in my way.

I've looked at clouds from both sides now
From up and down and still somehow
It's cloud illusions I recall
I really don't know clouds at all

Moons and Junes and Ferris wheels,
The dizzy dancing way that you feel
As every fairy tale comes real,
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Faithless,God Is a DJ,57,"This is my church
This is where I heal my hurts
It's in the world I've become
Contained in the hum between voice and drum
It's in change

The poetic justice of cause and effect
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
The Beatles,We Can Work It Out - Remastered 2015,63,"Try to see it my way
Do I have to keep on talking 'til I can't go on?
While you see it your way
Run the risk of knowing that our love may soon be gone
We can work it out
We can work it out

Think of what you're saying
You can get it wrong and still you think that it's all right
Think of what I'm saying
We can work it out, and get it straight or say good night
We can work it out
We can work it out
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Stevie Wonder,Superstition - Single Version,77,"Very superstitious writings on the wall
Very superstitious, ladders 'bout to fall
Thirteen-month-old baby, broke the looking glass
Seven years of bad luck, the good things in your past

When you believe in things that you don't understand
Then we suffer
Superstition ain't the way

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Stealers Wheel,Stuck In The Middle With You,72,"Well I don't know why I came here tonight
I've got the feeling that something ain't right
I'm so scared in case I fall off my chair
And I'm wondering how I'll get down the stairs

Clowns to the left of me
Jokers to the right
Here I am stuck in the middle with you

Yes I'm stuck in the middle with you
And I'm wondering what it is I should do
It's so hard to keep this smile from my face
Losing control, yeah I'm all over the place

Clowns to the left of me
Jokers to the right
Here I am stuck in the middle with you
When you started off with nothing
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Coldplay,Violet Hill,61,"Was a long and dark December, from the rooftops, I remember
There was snow, white snow
Clearly, I remember from the windows they were watching
While we froze down below
When the future's architectured by a carnival of idiots on show
You'd better lie low

If you love me, won't you let me know?

Was a long and dark December, when the banks became cathedrals
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Florence + The Machine,Dog Days Are Over,69,"Happiness hit her like a train on a track
Coming towards her stuck still no turning back
She hid around corners and she hid under beds
She killed it with kisses and from it she fled
With every bubble she sank with her drink
And washed it away down the kitchen sink

The dog days are over
The dog days are done
The horses are coming
So you better run

Run fast for your mother, run fast for your father
Run for your children, for your sisters and brothers
Leave all your love and your longing behind
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Editors,An End Has a Start,53,"I don't think that it's
Gonna rain again today
There's a devil at your side
But an angel on her way

Someone hit the light
'Cause there's more here to be seen
When you caught my eye
I saw everywhere I'd been
And wanna go to

You came on your own
That's how you'll leave
With hope in your hands
And air to breathe

I won't disappoint you
As you fall apart
Some things should be simple
Even an end has a start
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Coldplay,Lost!,53,"When I counted up my demons
Saw there was one for every day
With the good ones on my shoulders
I drove the other ones away

So, if you ever feel neglected
And if you think that all is lost
I'll be counting up my demons, yeah
Hoping everything's not lost

When you thought that it was over
You could feel it all around
Everybody's out to get you
Don't you let it drag you down

'Cause if you ever feel neglected
If you think that all is lost
I'll be counting up my demons, yeah
Hoping everything's not lost

If you ever feel neglected
If you think that all is lost
I'll be counting up my demons, yeah
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Mark Knopfler,What It Is,43,"The drinking dens are spilling out, there's staggering in the square
There's lads and lasses falling about and a crackling in the air
Down around the dungeon doors, the shelters and the queues
Everybody's looking for somebody's arms to fall into

It's what it is
It's what it is now

There's frost on the graves and the monuments but the taverns are warm in town
People curse the government and shovel hot food down
Lights are out in the city hall, the castle and the keep
The moon shines down upon it all, the legless and the sleepless

Cold on the tollgate
With the wagons creeping through
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Limp Bizkit,Behind Blue Eyes,72,"No one knows what it's like
To be the bad man
To be the sad man
Behind blue eyes

And no one knows what it's like
To be hated
To be fated
To telling only lies

But my dreams they aren't this empty
As my conscience seems to be
I have hours, only lonely
My love is vengeance
That's never free

No one knows what it's like
To feel these feelings
Like I do
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Sammy Davis Jr.,Mr. Bojangles - Single Version,56,"I knew a man Bojangles and he'd dance for you
In worn out shoes
With silver hair, a ragged shirt, and baggy pants
The old soft shoe
He jumped so high, jumped so high
Then he lightly touched down

I met him in a cell in New Orleans I was down and out
He looked to me to be the eyes of age
As he spoke right out
He talked of life, talked of life, he laughed clicked his heels and stepped
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Natasha Bedingfield,Unwritten,76,"I am unwritten
Can't read my mind, I'm undefined
I'm just beginning
The pen's in my hand, ending unplanned

Staring at the blank page before you
Open up the dirty window
Let the sun illuminate the words that you cannot find
Reaching for something in the distance
So close you can almost taste it
Release your inhibitions

Feel the rain on your skin
No one else can feel it for you
Only you can let it in
No one else, no one else
Can speak the words on your lips
Drench yourself in words unspoken
Live your life with arms wide open
Today is where your book begins
The rest is still unwritten, yeah
Oh, oh

I break tradition
Sometimes my tries, are outside the lines yeah, yeah
We've been conditioned to not make mistakes
But I can't live that way oh, oh

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Muse,Resistance,63,"Is our secret safe tonight?
And are we out of sight?
Or will our world come tumbling down?
Will they find our hiding place?
Is this our last embrace?
Or will the walls start caving in?

(It could be wrong, could be wrong) But it should have been right
(It could be wrong, could be wrong) To let our hearts ignite
(It could be wrong, could be wrong) Are we digging a hole?
(It could be wrong, could be wrong) This is out of control

(It could be wrong, could be wrong) It can never last
(It could be wrong, could be wrong) Must erase it fast
(It could be wrong, could be wrong) But it could have been right
(It could be wrong, could be)

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Keane,Bedshaped,41,"Many's the time I ran with you down
The rainy roads of our old town
Many the lives we lived in each day
And buried altogether

Don't laugh at me
Don't look away

You'll follow me back with the sun in your eyes
And on your own
Bedshaped
And legs of stone
You will knock on my door
And up, we'll go
In white light
I don't think so...
But what do I know?
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Alanis Morissette,You Oughta Know,52,"I want you to know that I'm happy for you
I wish nothing but the best for you both
An older version of me, is she perverted like me?
Would she go down on you in a theatre?
Does she speak eloquently? And would she have your baby
I'm sure she'd make a really excellent mother

'Cause the love that you gave that we made
Wasn't able to make it enough for you to be open wide, no
And every time you speak her name
Does she know how you told me you'd hold me until you died
'Til you died, but you're still alive

And I'm here, to remind you
Of the mess you left when you went away
It's not fair, to deny me
Of the cross I bear that you gave to me
You, you, you oughta know

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Within Temptation,Stand My Ground,56,"Stand my ground
Yesterday they sang so well
I know you can do it as well
Okay
Here we go

I can see you
When you stay low nothing happens
Does it feel right?
Late at night
Things I thought I'd put behind me
Haunt my mind

I just know there's no escape now
Once it sets it's eyes on you
But I won't run, have to stare it in the eyes

Stand my ground, I won't give in
No more denying
I've gotta face it

Won't close my eyes
And hide the truth inside
If I don't make it
Someone else will
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Snow Patrol,Chasing Cars,78,"We'll do it all
Everything
On our own

We don't need
Anything
Or anyone

If I lay here
If I just lay here
Would you lie with me and just forget the world?

I don't quite know
How to say
How I feel

Those three words
Are said too much
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Red Hot Chili Peppers,Dani California,76,"Getting born in the state of Mississippi
Papa was a copper
And Mama was a hippie

In Alabama she would swing a hammer
Price you gotta pay when you break the panorama

She never knew that there was
Anything more than poor

What in the world does your
Company take me for

Black bandana sweet Louisiana
Robbin' a bank in the state of Indiana

She's a runner, rebel and a stunner
On her merry way sayin'
Baby watcha gonna

Looking down the barrel of a
Hot metal 45
Just another way to survive

California rest in peace
Simultaneous release
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Massive Attack,Unfinished Sympathy,53,"I know that I've imagined love before
And how it could be with you

Really hurt me, baby, really cut me, baby
How can you have a day without a night?
You're the book that I have opened
And now I've got to know much more

The curiousness of your potential kiss
Has got my mind and body aching

Really hurt me, baby, really cut me, baby
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
James Blunt,You're Beautiful,76,"My life is brilliant.
My life is brilliant.
My love is pure.
I saw an angel.
Of that I'm sure.
She smiled me on the subway.
She was with another man.
But I won't lose no sleep on that,
'Cause I've got a plan.
You're beautiful, You're beautiful,
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Bon Jovi,It's My Life,77,"This ain't a song for the broken-hearted
No silent prayer for the faith-departed
I ain't gonna be just a face in the crowd
You're gonna hear my voice
When I shout it out loud

It's my life
It's now or never
I ain't gonna live forever
I just want to live while I'm alive
(It's my life)
My heart is like an open highway
Like Frankie said
I did it my way
I just wanna live while I'm alive
It's my life
This is for the ones who stood their ground
For Tommy and Gina who never backed down
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Coldplay,Politik,62,"Look at Earth from outer space
Everyone must find a place
Give me time and give me space
Give me real, don't give me fake

Give me strength, reserve control
Give me heart and give me soul
Give me time, give us a kiss
And tell me your own politik

And open up your eyes
Open up your eyes
Open up your eyes
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
De Kast,In Nije Dei,38,"De nacht is foarby, de sinne is frij, omheech te gean
Aanst wurdt it dei, de moarn is te nij, om stil te stean
It libben wie wrang, it wachtsjen te lang
Mar 't nimt in kear
Wes mar net bang, nea wer bang, it hoecht net mear
Der sil gjin dei begjinne, dat ik net by dy bin
Gjin oerwurk foar us rinne, sunder sin

Jou my dyn han, jou my dyn hert
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Kings of Leon,Sex on Fire,79,"Lay where you're laying
Don't make a sound
I know they're watching
They're watching

All the commotion
The kiddie-like play
Has people talking
They're talking

You
Your sex is on fire

The dark of the alley
The breaking of day
Head while I'm driving
I'm driving

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Keane,Somewhere Only We Know,67,"I walked across an empty land
I knew the pathway like the back of my hand
I felt the earth beneath my feet
Sat by the river and it made me complete

Oh, simple thing, where have you gone?
I'm gettin' old, and I need something to rely on
So, tell me when you're gonna let me in
I'm gettin' tired, and I need somewhere to begin

I came across a fallen tree
I felt the branches of it looking at me
Is this the place we used to love?
Is this the place that I've been dreaming of?

Oh, simple thing, where have you gone?
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Simply Red,Sunrise,55,"As I look into your eyes I see the sunrise
The light behind your face helps me realize
(Sunrise...)

We sleep and sometimes love until the moon shines
Maybe the next time I'll be yours and maybe you'll be mine
(Sunrise)

I don't know if it's even in your mind at all (It could be me)
At this moment in time, is it in your mind at all (It should be me)
(It could be me) (That's ingrained in your mind, your mind)
Forever
Forever

Wondering through life will love come home to you
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Ronan Keating,When You Say Nothing At All,74,"It's amazing how you can speak right to my heart
Without saying a word, you can light up the dark
Try as I may I can never explain
What I hear when you don't say a thing

The smile on your face lets me know that you need me
There's a truth in your eyes saying you'll never leave me
The touch of your hand says you'll catch me wherever I fall
You say it best, when you say nothing at all

All day long I can hear people talking out loud
But when you hold me near, you drown out the crowd
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Eddie Vedder,Hard Sun,66,"When I walk beside her, I am the better man
When I look to leave her, I always stagger back again
Once I built an ivory tower, so I could worship from above
When I climbed down to be set free, she took me in again

There's a big, a big hard sun
Beating on the big people
In the big hard world

When she comes to greet me she is mercy at my feet
And when I see her bitter charm, she just throws it back at me
Once I dug an early grave to find a better land
She just smiled and laughed at me, and took her blues back again

There's a big, a big hard sun
Beating on the big people
In the big hard world

Oh, there's a big, a big hard sun
Beating on the big people
In the big hard world

When I go to cross that river, she is comfort by my side
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Simple Minds,Belfast Child,43,"When my love said to me
Meet me down by the gallow tree
For it's sad news I bring

About this old town and all that it's offering
Some say troubles abound
Some day soon they're gonna pull the old town down

One day we'll return here
When the Belfast Child sings again

Brothers, sisters, where are you now?
As I look for you right through the crowd
All my life here I've spent
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Anouk,Jerusalem,40,"Sir can you tell me how to get to Jerusalem?
'Cause I have kinda lost my way
Sir will you help me get there as fast as I can?
Tomorrow might be too late

'Cause things ain't what they used to be
My love for life is gone you see
Am I fighting things I cannot see?
People always tellin' me, how sweet and simple life could be
They say, ""You might as well live before you die""

But one thing I know for sure
I am a danger to myself, how come?
Yeah one thing I know for sure
I need some guidance, to get me out of this hellhole
Jerusalem, can you help me find my way back to Jerusalem? Yeah

It took me quite some time to get into Jerusalem
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Robbie Williams,Mr Bojangles,58,"I knew a man Bojangles
And he'll dance for you
In worn out shoes
With silver hair, a ragged shirt
And baggy pants
He would do the old soft shoe
He would jump so high
Jump so high
Then he'd lightly touch down

Told me of the time he worked with
With Minstrel shows
Travelling throughout the south
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Arctic Monkeys,When The Sun Goes Down,57,"So who's that girl there?
I wonder what went wrong
So that she had to roam the streets
She don't do major credit cards
I doubt she does receipts
It's all not quite legitimate

And what a scummy man
Just give him half a chance
I bet he'll rob you if he can
Can see it in his eyes, yeah
That he's got a driving ban
Amongst some other offences

And I've seen him with girls of the night
And he told Roxanne to put on her red light
They're all infected but he'll be alright
Cause he's a scumbag, don't you know
I said he's a scumbag, don't you know!

Although you're trying not to listen
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Madonna,Frozen,55,"How can life be what you want it to be?
You're frozen
When your heart's not open

Mmm-hmm
If I could melt your heart
Mmm-hmm
We'd never be apart
Mmm-hmm
If I could melt your heart
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Editors,The Racing Rats,43,"When the time comes
That you're no longer there
Fall down to my knees
Begin my nightmare

Words spill from my drunken mouth
I just can't keep 'em all in
I keep up with the racing rats
And do my best to win

Slow down little one
You can't keep running away
You mustn't go outside yet
It's not your time to play

Standing at the edge of your town
With the skylight in your eyes
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Coldplay,Life in Technicolor ii,47,"There's a wild wind blowing
Down the corner of my street
Every night there the headlights are glowing

There's a cold war coming,
On the radio I heard
Baby it's a violent world

Oh, love, don't let me go
Won't you take me where the streetlights glow
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Kaiser Chiefs,Ruby,62,"Let it never be said
That romance is dead
'Cause there's so little else

Occupying my head
There is nothing I need
Except the function to breath

But I'm not really fussed
Doesn't matter to me
Ruby, Ruby, Ruby, Ruby!

Do ya, do ya, do ya, do ya!
Know what you're doing, doing to me!
Ruby, Ruby, Ruby, Ruby!

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
U2,Elevation,49,"High, higher than the sun
You shoot me from a gun
I need you to elevate me here
At the corner of your lips
As the orbit of your hips
Eclipse, you elevate my soul
I've got self-control

Been living like a mole now
Going down, excavation
I and I in the sky
You make me feel like I can fly
So high, elevation
Check it out, I'm speaking out

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Ram Jam,Black Betty,61,"Whoa, Black Betty (Bam-ba-lam)
Whoa, Black Betty (Bam-ba-lam)
Black Betty had a child (Bam-ba-lam)
The damn thing gone wild (Bam-ba-lam)
She said, ""I'm worryin' outta mind"" (Bam-ba-lam)
The damn thing gone blind (Bam-ba-lam)
I said oh, Black Betty (Bam-ba-lam)
Whoa, Black Betty (Bam-ba-lam)

Whoa, Black Betty (Bam-ba-lam)
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Novastar,Wrong,48,"She just left me, oh
And there's no one here that I
Want to change her for
And I was good for her
Still she says she don't know
Who she adores

Where did we go wrong
Was it somewhere along this trip to Miami
Where did we go wrong
Was it somewhere along this trip to Miami
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Herman Brood & His Wild Romance,Never Be Clever,41,"Going down the line, my head up high
Wonder why it's so hard to feel fine
Got all I need
Plastic teeth
A pocket full of speed
And I'm cool with the heat
I got a groovy little lady
Seems I'm waisting het time
Got a hit and a bullet
Still back in crime

People say I used to do better
Si I guess I'm gonna have to get myself together
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Muse,Undisclosed Desires,65,"I know you've suffered
But I don't want you to hide
It's cold and loveless
I won't let you be denied

Soothing
I'll make you feel pure
And trust me
You can be sure

I want to reconcile the violence in your heart
I want to recognize your beauty is not just a mask
I want to exorcise the demons from your past
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Within Temptation,Mother Earth,45,"Birds and butterflies
Rivers and mountains she creates
But you'll never know
The next move she'll make

You can try
But it is useless to ask why
Cannot control her
She goes her own way

She rules until the end of time
She gives and she takes
She rules until the end of time
She goes her way

With every breath
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Daft Punk,One More Time,75,"One more time
One more time

One more time
We're gonna celebrate
Oh yeah, all right
Don't stop the dancing

One more time
We're gonna celebrate
Oh yeah, all right
Don't stop the dancing

One more time
We're gonna celebrate
Oh yeah, all right
Don't stop the dancing

One more time
We're gonna celebrate
Oh yeah

One more time

One more time
We're gonna celebrate
Oh yeah, all right
Don't stop the dancing

One more time
We're gonna celebrate
Oh yeah
Don't stop the dancing

One more time

I'm just feelin'
Celebration tonight
Celebrate
Don't wait too late
No he don't stop
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Elvis Presley,(You're The) Devil in Disguise,65,"You look like an angel (look like an angel)
Walk like an angel (walk like an angel)
Talk like an angel
But I got wise

You're the devil in disguise
Oh, yes, you are, devil in disguise

You fooled me with your kisses
You cheated and you schemed
Heaven knows how you lied to me
You're not the way you seemed

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Queens of the Stone Age,Make It Wit Chu,59,"You wanna know if I know why?
I can't say that I do
Don't understand the evil eye
Or how one becomes two

And I just can't recall what started it all
Or how to begin in the end
I ain't here to break it
Just see how far it will bend
Again and again, again and again

I wanna make it
I wanna make it wit chu (anytime, anywhere)
I wanna make it (again and again)
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
White Lies,Farewell To The Fairground,54,"The lights still in our eyes
We're leaving this whole fairground behind
It's a dream that's going cold
The circus never dies
The act forever haunts these skies
I know we cannot stay

Farewell to the fairground
These rides aren't working anymore
Goodbye to this dead town
Until the ice begins to thaw

This place used to gleam
I see it in my hopeful dreams
Now I have to get away
We move towards the stars
And all that we touch becomes ours
Let's keep warm 'til it's day

Farewell to the fairground
These rides aren't working anymore
Goodbye to this dead town
Until the ice begins to thaw
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Damien Rice,9 Crimes,57,"Leave me out with the waste
This is not what I do
It's the wrong kind of place
To be thinking of you

It's the wrong time
For somebody new
It's a small crime
And I got no excuse

And is that alright? Yeah
Give my gun away when it's loaded
That alright? Yeah
If you don't shoot it how am I supposed to hold it?

That alright? Yeah
Give my gun away when it's loaded
That alright? Yeah, with you?

Leave me out with the waste
This is not what I do
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
2Pac,Changes,72,"Come on, come on
I see no changes, wake up in the morning, and I ask myself
Is life worth living, should I blast myself?
I'm tired of bein' poor, and even worse I'm black
My stomach hurts, so I'm lookin' for a purse to snatch

Cops give a damn about a negro
Pull the trigger, kill a nigga, he's a hero
Give the crack to the kids who the hell cares
One less hungry mouth on the welfare

First, ship 'em dope and let 'em deal the brothers
Give 'em guns, step back, watch 'em kill each other
It's time to fight back, that's what Huey said
Two shots in the dark, now Huey's dead

I got love for my brother, but we can never go nowhere
Unless we share with each other
We gotta start makin' changes
Learn to see me as a brother instead of two distant strangers

And that's how it's supposed to be
How can the devil take a brother, if he's close to me?
I'd love to go back to when we played as kids
But things changed, and that's the way it is

Come on, come on
That's just the way it is
Things will never be the same
That's just the way it is
Ooh, yeah

Come on, come on
That's just the way it is
Things will never be the same
That's just the way it is
Aww, yeah

I see no changes, all I see is racist faces
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Racoon,Don't Give up the Fight,27,"Please don't give up the fight
For no reason, but your own
I never said that the fight
Would be easy

Because it won't
I will remember you
And all that we've been through
There's no angel that can be more angel

Than you
I see you every night
And your star is shinig bright
And I cry and I smile
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Triggerfinger,I Follow Rivers - Live @ Giel!,42,"One, Two, Three

Oh I beg you: can I follow?
Oh I ask you: why not always?
Be the ocean, where I unravel,
Be my only, be the water where I'm wading.
You're my river running high,

Run deep, run wild.
I-I follow, I follow you
Deep sea baby, I follow you
I-I follow, I follow you

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Racoon,Liverpool Rain,26,"Stuck in a van
As far away as I possibly can
Stuck in a mood
So far away that it couldn't be good
My back hurts and it rains
Screw England, screw the young and insane
We travel in vain
The dreams are the same

So look at the hero in the Liverpool rain
I'll stick by you forever, and do it in vain
You travel the houses, soothing the pain
Putting a smile on my face once again
So look at the heroes in the Liverpool rain
Are we here in vain

Stuck in a van, and to be honest again
Well, I don't give a damn
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Racoon,No Mercy,36,"She walks in and says, ""Come on, let's have it""
She brings out the worst you can be
It's a good day for a bad habit
Don't you dare to disagree
(She likes to surf alone)

Cheap bastard thinks he's something groovy
Straight down from church you wanna bet
She'll play him like some kind of movie
And then smokes the last of his cigarettes

She's got no mercy for the soldiers
No mercy for the king
No mercy for the soldiers
No mercy for the king
No mercy for the soldiers
And no mercy for no king
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
P!nk,Raise Your Glass,76,"Right, right, turn off the lights
We're gonna lose our minds tonight
What's the dealio?
I love when it's all too much
5:00 a.m. turn the radio up
Where's the rock 'n' roll?

Party crasher, penny snatcher
Call me up if you a gangster
Don't be fancy, just get dancy
Why so serious?

So raise your glass if you are wrong
In all the right ways, all my underdogs
We will never be, never be anything but loud
And nitty gritty, dirty little freaks
Won't you come on and come on and raise your glass?
Just come on and come on and raise your glass

Slam, slam, oh, hot damn
What part of party don't you understand?
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Coldplay,Christmas Lights,84,"Christmas night
Another fight
Tears we cried a flood
Got all kinds of poison in
Of poison in my blood

I took my feet to Oxford street
Trying to right a wrong
""Just walk away"" those windows say
But I can't believe she's gone

When you're still waiting for the snow to fall
Doesn't really feel like Christmas at all

Up above candles on air flicker
Oh, they flicker, and they flow
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Cock Robin,The Promise You Made,48,"If I laid down my love to come to your defense
Would you worry for me with a pain in your chest?
Could I rely on your faith to be strong
To pick me back up and to push me along?

(Tell me) you'll be there in my hour of need
You won't turn me away
Help me out of the life I lead
Remember the promise you made
Remember the promise you made

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Golden Earring,Back Home,37,"Goin' back right through the city
Through the country, rivers so pretty
People wonder why I'm going back home
Just the place where I belong

Back home,
Back home,
Back home,
Back home
Well I'm a round the world rambler
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
DI-RECT,Times Are Changing,47,"Everybody is in a separate zone
All together but we're so alone.
Staring out through a wall of glass,
Look away because it's gonna crash.

And ooh...
My hart is open
Ooh, the times are changing

Forever
Forever

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Lady Antebellum,Need You Now,53,"Picture perfect memories
Scattered all around the floor
Reaching for the phone cause
I can't fight it anymore

And I wonder if I ever cross your mind
For me it happens all the time

It's a quarter after one
I'm all alone and I need you now
Said I wouldn't call, but I lost all control
And I need you now
And I don't know how I can do without
I just need you now

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
