Sorry,Nothing But Thieves,alternative pop rock,2017,128,78,67,-5,13,52,215,0,3,62,"You might kill me with desire
Wind me tighter than a wire
It's something that you do to me
I run away like mercury
And I know you think it's rough
When you're trying to patch us up
And I say: Honey what is love?
You just say, I drink too much

Maybe I'm defective
Or maybe I'm dumb
I'm sorry, so sorry
For what I've done
Maybe I'm bad natured
Or maybe I'm young
I'm sorry, so sorry
For what I've done

And then the T-Shirt that I wear
...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
One More Light,Linkin Park,alternative metal,2017,84,20,59,-11,9,17,255,90,3,75,"I got a long way to go
And a long memory
I been searching for an answer
Always just out of reach

Blood on the floor
Sirens repeat
I been searching for the courage
To face my enemies
When they turn down the lights

I hear my battle symphony
All the world in front of me
If my armor breaks
I'll fuse it back together
Battle symphony
Please just don't give up on me
And my eyes are wide awake

...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
Through the Barricades - Remastered,Spandau Ballet,dance rock,2017,146,28,49,-14,12,17,360,30,3,60,"Mother doesn't know where love has gone
She says it must be youth
That keeps us feeling strong
I see it in her face, that's turned to ice
And when she smiles she shows the lines of sacrifice

And now I know what they're saying
'Cause our sun begins to fade
And we made our love on wasteland
And through the barricades

Father made my history
He fought for what he thought
Would set us somehow free

He taught me what to say in school
I learned it off by heart
But now that's torn in two

...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
Freedom! '90 - Remastered,George Michael,dance rock,2017,92,85,68,-11,6,93,391,23,5,69,"I won't let you down
I will not give you up
Gotta have some faith in the sound
It's the one good thing that I've got

I won't let you down
So please don't give me up
'Cause I would really, really
Love to stick around, oh yeah

Heaven knows
I was just a young boy
Didn't know what
I wanted to be
Didn't know what

I wanted to be
I was every little hungry
Schoolgirl's pride and joy
And I guess it was enough for me
To win the race?
A prettier face!

Brand new clothes and
A big fat place
On your rock and roll TV
But today the way
I play the game is not the same
No way
Think I'm gonna get myself happy

I think there's
Something you
Should know
I think it's time
I told you so

There's something
Deep inside of me
There's someone
Else I've got to be
Take back your
Picture in a frame

Take back your
Singing in the rain
I just hope you understand
Sometimes the clothes
Do not make the man

All we have to do now
Is take these lies and
Make them true somehow
All we have to see
Is that I don't belong to you
And you don't
Belong to me yeah, yeah
...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
Amsterdam,Nothing But Thieves,alternative pop rock,2017,168,93,51,-5,24,67,272,0,24,63,"People don't know much
Need a whiskey crush
To think of something new
Hey you watching me
Lookin' through a screen
I'm here in front of you

Sometimes the days, they feel so long
Yeah, we all live under the same sun

So I hit my head up against the wall
Over and over and over and over again, and again
'Cause I don't wanna be like them
I hit my head up against the wall
Over and over and over and over again
And again and again

People piss you off
...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
Something Just Like This,The Chainsmokers,electropop,2017,103,64,62,-7,16,45,247,5,3,84,"I've been reading books of old
The legends and the myths
Achilles and his gold
Hercules and his gifts
Spider-Man's control
And Batman with his fists
And clearly, I don't see myself upon that list

But she said, ""Where'd you wanna go?
How much you wanna risk?
I'm not looking for somebody with some superhuman gifts
Some superhero
Some fairy tale bliss
Just something I can turn to
Somebody I can kiss""

I want something just like this
Doo-doo-doo, doo-doo-doo
Doo-doo-doo, doo, doo-doo
Doo-doo-doo, doo-doo-doo
Oh, I want something just like this
Doo-doo-doo, doo-doo-doo
Doo-doo-doo, doo, doo-doo
Da-da-da, da-da-da
...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
Thunder,Imagine Dragons,modern rock,2017,168,82,61,-5,15,29,187,1,4,86,"Just a young gun with a quick fuse
I was uptight, wanna let loose
I was dreaming of bigger things and
Wanna leave my own life behind
Not a ""Yes, sir"", not a follower
Fit the box, fit the mold, have a seat
In the foyer, take a number
I was lightning before the thunder (thunder)

Thunder, thunder, thun-
Thunder, th-th-thunder, thunder
Thunder, thunder, thun-
Thunder, th-th-thunder, thunder

Thunder, feel the thunder (thun-, thun-)
Lightning then the thunder (th-th-thunder, thunder)
Thunder, feel the thunder (thun-, thun-)
Lightning then the thunder, thunder (th-th-thunder, thunder)

Thunder
Thunder
...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
Thinking Of A Place,The War On Drugs,chamber pop,2017,103,63,48,-7,12,16,671,39,3,59,"It was back in Little Bend that I saw you
Light was changing on the water
Where birds above had flown
There was pain in your eyes
So you vanished in the night
Missouri River in the distance
So I lied upon the lawn

I remember walking against the darkness of the beach
Love is like a ghost in the distance, out of reach
Travel through the night 'cause there is no fear
Alone but right behind, until I watched you disappear

I'm moving through the dark
Of a long black night
Just moving with the moon
And the light it shines
And I'm thinking of a place
And it feels so very real
Just moving through the dark

Once I had a dream
...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
Happier,Ed Sheeran,pop,2017,90,39,52,-7,14,24,208,54,3,83,"Walking down 29th and park
I saw you in another's arms
Only a month we've been apart
You look happier

Saw you walk inside a bar
He said something to make you laugh
I saw that both your smiles were twice as wide as ours
Yeah, you look happier, you do

Ain't nobody hurt you like I hurt you
But ain't nobody love you like I do
Promise that I will not take it personal, baby
...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
Galway Girl,Ed Sheeran,pop,2017,100,88,62,-3,33,78,171,7,10,80,"She played the fiddle in an Irish band
But she fell in love with an English man
Kissed her on the neck and then I took her by the hand
Said, ""Baby, I just want to dance""

I met her on Grafton street right outside of the bar
She shared a cigarette with me while her brother played the guitar
She asked me what does it mean, the Gaelic ink on your arm?
Said it was one of my friend's songs, do you want to drink on?
She took Jamie as a chaser, Jack for the fun
She got Arthur on the table with Johnny riding a shotgun
Chatted some more, one more drink at the bar
Then put Van on the jukebox, got up to dance

You know, she played the fiddle in an Irish band
But she fell in love with an English man
Kissed her on the neck and then I took her by the hand
Said, ""Baby, I just want to dance""
With my pretty little Galway Girl
...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
Sunny Days,Armin van Buuren,edm,2017,115,71,63,-7,14,24,210,1,3,54,"She woke up in the mornin'
With the sunrise in her eyes
But all that she's seeing is darkness
She won't tell you why

No more butterflies 'cause they don't never last
Stolen from the light by demons of the past
It's always rainin'
But she keeps on prayin'

Oh, sunny days
Lift me when I'm down (lift me when I'm down, oh, sunny days)
Oh, sunny days
Breakin' through the clouds (breakin' through the clouds)
Oh, sunny days

Oh-oh-oh, oh-oh-oh, oh
...

******* This Lyrics is NOT for Commercial use *******
(1409623229855)"
