Title,Artist,URI,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Time signature,Chorus Hit,Sections,Target,Lyrics
Never Ever,All Saints,spotify:track:5FTz9qQ94PyUHETyAyfYZN,0.738,0.541,1,-5.485,1,0.0311,0.559,0,0.0492,0.309,134.187,387573,4,32.16853,16,1,"A few questions that I need to know
How you could ever hurt me so
I need to know what I've done wrong
And how long it's been going on
Was it that I never paid enough attention?
Or did I not give enough affection?
Not only will your answers keep me sane
But I'll know never to make the same mistake again
You can tell me to my face or even on the phone
You can write it in a letter, either way, I have to know
Did I never treat you right?
Did I always start the fight?
Either way, I'm going out of my mind
All the answers to my questions
I have to find

My head's spinning
Boy, I'm in a daze
I feel isolated
Don't wanna communicate

I'll take a shower, I will scour
I will rub
To find peace of mind
The happy mind I once owned, yeah

Flexing vocabulary runs right through me
The alphabet runs right from A to Z
"
Baby-Baby-Baby,TLC,spotify:track:1zTuB57LYZa7xu7KUH8kF0,0.679,0.597,11,-8.601,0,0.0439,0.0913,0.000673,0.0487,0.9,184.174,315040,4,20.93007,15,1,"And you want my love
Well that's alright
Well it will be there for you morning, noon and night
But you gotta be good
And do it right
Ain't got no time for part-time lovin' in my life

Well you wanna be loved (uh)
Hey that's okay
Cause it falls in line right with my sexuality
But you gotta be down
A nickel gotta be true
Cause otherwise this ""B"" ain't got no time for you

Oh baby, baby, baby
I got so much love in me
Ooh (baby, baby,) baby, baby, baby
Cause if your're gonna get me off
You got to love me deep

Well you want my heart (uh)
And all my time
Well it won't be there if you can't deal with my mind
Cause a girl like me (uh)
Won't stand for less
I require plenty conversation with my sex

Long as you know that I could have any man I want to
Baby that's actual and factual
But still I choose you to be with me
And work on me so you better not flake it up
"
I Missed The Bus,Kris Kross,spotify:track:793gh4IXh7mQsMBhvcJRlt,0.811,0.634,4,-10.408,0,0.0714,0.00469,0.00943,0.224,0.273,107.915,179160,4,54.7873,9,1,"Oh
Oh

I missed the bus.(Oh). I missed the bus.
I missed the bus.(Oh). I missed the bus.

I went to bed late but I didn't think late would AFFECT ME
Early came around then late wouldn't LET ME
Wake up - WAKE UP - so I can get dressed
I guess my body was mad 'cause I gave it no rest
And when I finally did awake it was a quarter to 8: 00
Jumped in the shower and I know I was late
Stepped out put on my jeans and my uni'
And said to myself if I miss school I'm ruined
But I ran down hill and I RUSHED RUSHED
"
The Comfort Zone,Vanessa Williams,spotify:track:7okbmgA8lRBGl5limZ7LFM,0.528,0.234,3,-15.784,1,0.0283,0.641,0,0.183,0.191,95.911,218733,4,46.33298,10,1,"(Check this out)
Ah, ah, yeah
(Ah, yeah)

Where do you go
When there's a need to feel loved?
Like, you need to be loved?
Oh, I'll let you know
Just what to do and where to go

Hey, welcome to the comfort zone
When you need to be loved like you need to be loved
Welcome to the comfort zone
Do whatever feels right and turns you on

After a hard day at work (oh yeah)
There's one thing to be certain of
This is so familiar love
Oh, it's not unusual to find that a sensual hold
Is all you need to let go
"
I'll Be Loving You,Collage,spotify:track:0HznAaWAq5FRLnLyKNf9Tv,0.62,0.868,11,-6.805,0,0.0528,0.00591,0,0.248,0.339,133.97,228040,4,45.68575,9,1,"I always thought I was doing fine
Spreading myself around another good time
Then it hit me from out of the blue
I was falling in love with you
But now everything's been changed
My hopes, my dreams
I'm rearranged it's true
It's all because of you
My baby
I'll be loving you all my life
Til my dying day is through
"
No Fool No More,En Vogue,spotify:track:1RhaF2Eq1Zg1zR1MIaY9I1,0.53,0.679,2,-5.987,0,0.0523,0.444,0,0.0728,0.338,76.045,257573,4,35.00537,10,1,"Packed up all the pain
Left the tears outside my door
And I? m not gonna be the one
Who? s left out in the rain no more

I see it so clearly
The writing is on the wall
Tellin? me I? m gonna be
Alright after all

Now I've opened my eyes
And I'm finally wise, no, no
No fool no more

No fool no more
Not like before
Not the way it used to be
No fool no more

No tears this time
? Cause this time I? m wise
To the game that? s been goin? on
And I? m not gonna be no fool no more
No fool

No room for sad regrets
? Cause the past is done and gone
And I? ve learned that it? s time that makes you wise
And truth that makes you strong

You thought you were so cool
"
Universal Heart-Beat,Juliana Hatfield,spotify:track:7Hj5QvOZvdZKtlBuq8nTXE,0.534,0.814,2,-7.978,1,0.0717,0.0359,0.00539,0.721,0.686,127.967,205907,4,53.22886,8,1,"Beauty can be sad; you're proof of that
When the damage is done, you're damaged goods
That's not to say it's not okay
I wouldn't have it any other way

A heart, a heart that hurts, is a heart, a heart that works
A heart, a heart that hurts, is a heart, a heart that works

Sweet, sweet pain comes with the sun
"
Last Goodbye,Kenny Wayne Shepherd,spotify:track:2j9xf567RovYfYPmfDWgvG,0.461,0.695,7,-7.662,1,0.0282,0.0275,0,0.151,0.371,149.346,273600,4,41.53611,8,0,"Long before your rusted chains
Busted walls and barbed wire cage
Tried to hold me down
Time was just a fist of change
Tossed in the water just incase
You ever came around

I could lose myself
I could curse like hell
But I've lost the will to even try
If you ever doubt listen to the sound
No lies
No, no, no
This is my last goodbye

Pardon me if I appear
To see beyond the now and here
To try and save myself
I'm not the kind of them to blame
I'm not the kind to pin the blame"
Wade in the Water,Ella Jenkins,spotify:track:7exER11O6jaBmUWhOvWRGh,0.486,0.262,2,-11.864,0,0.0381,0.83,0,0.16,0.329,128.764,244160,4,24.69182,11,0,"Wade in the water
Wade in the water children
Wade in the water god's gonna trouble the water
Wade in the water
Wade in the water children
God's gonna trouble the water

Now Jordan's water is chilly and cold
God's gonna trouble the water
It chills the body but not the soul
God's gonna trouble the water
Wade in the water
"
Transylvanian Concubine (The Manson Mix (Radio Edit))**,Rasputina,spotify:track:2SXswiR0TE3AULlCwvgg5E,0.666,0.765,1,-7.859,0,0.0973,3.86E-05,0.00529,0.81,0.563,103.971,173693,4,32.5386,9,0,"If you want to know how
To fly high then go now
To the place where all the concubines
Meet and converse with them
Marvel at their pale skin
Wonder how they chew with their pointy

Teeth and hair are beauty
They know it's their duty
To be Countess in their hearts and their

Minds that have to whisper
See in them a sister
Look into their eyes and you'll be a

Transylvanian Concubine
You know what flows there like wine
Stay here with us, it's just time
"
Lo Mejor del Rock N' Roll,Expulsados,spotify:track:5nd5ZnTvznukaV2Hcesc09,0.273,0.824,2,-4.981,1,0.0742,0.0153,0.322,0.112,0.777,185.664,153360,4,24.11872,7,0,"Y dice yeah yeah yeah
Yeah yeah yeah

Lo mejor del rock n roll, es que no hay punto de control!

Y dice yeah yeah yeah
"
Every Heartbeat,Amy Grant,spotify:track:55lX3vm1G35mUpawXHK5Te,0.648,0.89,2,-3.834,1,0.0429,0.288,0,0.119,0.808,126.956,213733,4,31.93258,12,1,"Hear me speak what's on my mind
Let me give this testimony
Reaffirm that you will find
That you are my one and only

No exception to this rule
I'm simple, but I'm no fool
I've got a witness
Happy to say
Every hour, every day

Every heartbeat
Bears your name
Loud and clear they stake my claim
My red blood runs true blue
And every heartbeat belongs to you

Classic case of boy meets girl
Moving in the same direction
You're not asking for the world
"
A Life of Possibilities,Dismemberment Plan,spotify:track:3TKWCQMU7xYEEslFXsj51i,0.709,0.837,7,-7.273,1,0.0779,0.101,0.511,0.114,0.502,125.485,274720,4,40.24415,9,0,"You dig down underground now
Through the soil, through the cooling clay
As the din fades above you
You're moving, you're secret, you're nowhere, it's all good
And no lights lead you onwards
And no signs point you on your way
You're just earth in all directions
It's endless, it's mapless, no compass, no North Star

You're all gone cause they can't find you
You're lost cause they don't know the way
They blame themselves, they blame each other
They're angry, they're sorry, they're worried, you don't care
"
Sluttering (May 4th),Jawbreaker,spotify:track:3nJvdMhOmRW4cRLw0NN7qC,0.433,0.983,9,-5.415,1,0.079,0.00338,0.000454,0.228,0.632,158.985,254107,4,44.02017,10,0,"Flattered that you
Think I warrant ugliness
Gutters drain west
Mud made a mess of us
It's time to leave this place

I'd saw through your wrist
To find a better trap that fits
I'd saw through your traps
To find a better you
A part of you that lasts

I saw through your trap
And into my own wrists
Saw we were through
Red ribbons spill to blue
A sight to sore your eyes

I got this dress
I'm hiking it around
This waste of laughter
Slow dance alone
"
Reach For The Sky,Firehouse,spotify:track:4T2CCZX2QjiREym8lZ2G4v,0.562,0.891,1,-8.283,1,0.0361,1.21E-05,0.0588,0.0858,0.524,132.569,286733,4,31.92332,8,1,"Well I'm an outlaw
I make my living on the run
My life is lonely
But I was born to need no one
Ohh, always on my own

Whoa"
On Point,House Of Pain,spotify:track:2h5hQFc6tPJO3O1tz0bSkY,0.814,0.537,1,-10.198,1,0.0691,0.0464,0.000319,0.0928,0.556,104.21,228867,4,46.72614,13,1,"I'm sick, demented, I came unrepresented
I rose from the grave, I had a close shave
The cops tried to lock me down
'Cause the Glock they found
Was stolen that's how I'm rollin'

Calvin Klein's no friend of mine
So I don't like Marky or the monarchy
Don't start me up like a Rollin' Stone
I leave you sulkin' like Macaulay Culkin
In 'Home Alone'

So 'Get A Grip' like Stephen Tyler
I used to trip with the Divine Styler
Back in the days there were Irish ways
And Irish laws to stand up for the cause

When it's time to rock a funky joint
I'm on point
When it's time to rock a funky jam
I'm the man

When it's time to rock a funky joint
I'm on point
When it's time to rock a funky jam
I'm the man

When it's time to rock a funky joint
I'm on point
When it's time to rock a funky jam
I'm the man

When it's time to rock a funky joint
I'm on point
When it's time to rock a funky jam
"
Someday,Sugar Ray,spotify:track:6NcHJ23mLQKnVxQcOmT7JW,0.743,0.67,1,-4.547,0,0.0293,0.0108,0.0702,0.22,0.934,110.832,243333,4,25.36994,12,1,"Someday
When my life has passed me by
I lay around and wonder why
You were always there for me

One way
In the eyes of a passerby
I look around for another try
And fade away

Just close your eyes and I'll take you there
This place is warm without a care
We'll take a swim in the deep blue sea
I go to leave and you reach for me

Some say
Better things will come our way
"
